id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_dia;defeitos_tarde;defeitos_noite;pen_pct
41;nublado;2;1320,0;12;1882,7199999999998;6;10;1;60
42;ceu_aberto;5;1320,0;12;1946,4;10;22;1;60
43;parcialmente_nublado;6;1320,0;12;1661,7400000000002;9;11;1;60
44;ceu_aberto;5;1320,0;12;1799,71;9;16;1;60
45;parcialmente_nublado;3;1320,0;12;1760,12;9;10;1;60
46;nublado;7;1320,0;12;1713,9900000000002;5;16;1;60
47;ceu_aberto;3;1320,0;12;1783,23;13;16;1;60
48;nublado;5;1320,0;12;2017,1;1;22;1;60
49;ceu_aberto;4;1320,0;12;1780,6599999999999;5;22;1;60
50;parcialmente_nublado;4;1320,0;12;1379,23;8;9;1;60
1;parcialmente_nublado;5;1540,0;14;2347,4000000000005;5;22;1;70
2;nublado;5;1540,0;14;1750,1100000000001;8;22;1;70
3;ceu_aberto;5;1540,0;14;2091,33;10;10;1;70
4;parcialmente_nublado;6;1540,0;14;1966,67;7;22;1;70
5;nublado;5;1540,0;14;2098,41;7;32;1;70
6;ceu_aberto;3;1540,0;14;2474,55;9;35;1;70
7;ceu_aberto;6;1540,0;14;1971,2600000000002;25;22;1;70
8;parcialmente_nublado;7;1540,0;14;2263,44;9;16;1;70
9;nublado;5;1540,0;14;2125,54;7;35;1;70
10;ceu_aberto;5;1540,0;14;1819,84;9;32;1;70
11;ceu_aberto;5;1540,0;14;2074,55;16;36;1;70
12;nublado;5;1540,0;14;2271,37;8;22;1;70
13;parcialmente_nublado;5;1540,0;14;2130,3500000000004;7;22;1;70
14;parcialmente_nublado;4;1540,0;14;1920,6000000000001;9;35;1;70
15;nublado;7;1540,0;14;2094,7700000000004;7;36;1;70
16;parcialmente_nublado;4;1540,0;14;1871,3600000000001;9;13;1;70
17;parcialmente_nublado;3;1540,0;14;2193,34;7;18;1;70
18;nublado;3;1540,0;14;1937,3299999999997;3;24;1;70
19;ceu_aberto;4;1540,0;14;2306,21;28;36;1;70
20;parcialmente_nublado;3;1540,0;14;1842,8299999999997;9;22;1;70
21;parcialmente_nublado;5;1540,0;14;2236,02;5;35;1;70
22;parcialmente_nublado;6;1540,0;14;2439,02;8;35;1;70
23;parcialmente_nublado;5;1540,0;14;1949,96;9;22;1;70
24;ceu_aberto;3;1540,0;14;2192,6000000000004;10;22;1;70
25;parcialmente_nublado;4;1540,0;14;1788,5199999999998;5;32;1;70
26;parcialmente_nublado;5;1540,0;14;2032,98;10;22;1;70
27;nublado;5;1540,0;14;1861,9599999999996;1;22;1;70
28;parcialmente_nublado;5;1540,0;14;1985,2;9;36;1;70
29;nublado;6;1540,0;14;2133,6;2;22;1;70
30;nublado;8;1540,0;14;2314,41;7;36;1;70
31;nublado;5;1540,0;14;2075,34;7;18;1;70
32;parcialmente_nublado;5;1540,0;14;1994,78;9;22;1;70
33;nublado;5;1540,0;14;1952,5400000000002;7;32;1;70
34;ceu_aberto;2;1540,0;14;2041,8600000000001;29;22;1;70
35;parcialmente_nublado;6;1540,0;14;2148,2799999999997;6;22;1;70
36;parcialmente_nublado;4;1540,0;14;2182,2799999999997;9;22;1;70
37;ceu_aberto;4;1540,0;14;2126,7;12;35;1;70
38;parcialmente_nublado;5;1540,0;14;1835,02;9;18;1;70
39;nublado;5;1540,0;14;1880,6000000000001;9;10;1;70
40;ceu_aberto;6;1540,0;14;1765,7200000000003;10;10;1;70
41;ceu_aberto;5;1540,0;14;1949,0499999999997;9;22;1;70
42;parcialmente_nublado;3;1540,0;14;1859,94;8;16;1;70
43;parcialmente_nublado;3;1540,0;14;2347,1800000000003;9;35;1;70
44;parcialmente_nublado;4;1540,0;14;2075,15;7;34;1;70
45;ceu_aberto;3;1540,0;14;2351,69;9;22;1;70
46;parcialmente_nublado;4;1540,0;14;2530,4900000000002;15;36;1;70
47;parcialmente_nublado;7;1540,0;14;2572,82;22;35;1;70
48;nublado;5;1540,0;14;1877,08;1;22;1;70
49;nublado;3;1540,0;14;2050,3300000000004;4;15;1;70
50;ceu_aberto;7;1540,0;14;2392,9799999999996;25;36;1;70
1;parcialmente_nublado;5;1760,0;16;2412,99;10;35;1;80
2;ceu_aberto;5;1760,0;16;2534,5299999999997;28;36;1;80
3;ceu_aberto;6;1760,0;16;2866,88;32;36;1;80
4;ceu_aberto;5;1760,0;16;2474,87;11;36;1;80
