id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;subtensao_manhã;sobretensao_manhã;subtensao_tarde;sobretensao_tarde;subtensao_noite;sobretensao_noite;subtensao_madrugada;sobretensao_madrugada;subtensao_bess_carga;sobretensao_bess_carga;subtensao_bess_pós_carga_pré_descarga;sobretensao_bess_pós_carga_pré_descarga;subtensao_bess_descarga;sobretensao_bess_descarga;subtensao_bess_fora_de_operacao;sobretensao_bess_fora_de_operacao;horas_com_erro_max_control;horas_com_voltvar_ativo;pen_pct
40;parcialmente_nublado;5;1769,0;5;619,14;2;7;1;7;2;6;2;0;2;7;1;7;1;6;2;7;0;24;100
41;ceu_aberto;5;1769,0;5;619,16;24;7;24;7;2;6;2;0;24;7;1;7;1;6;7;7;0;19;100
42;parcialmente_nublado;5;1768,99;5;619,15;27;7;29;7;2;6;2;0;29;7;1;7;1;6;2;7;0;24;100
43;ceu_aberto;5;1768,99;5;619,1500000000001;28;7;28;7;2;6;2;0;28;7;1;7;1;6;9;7;0;19;100
44;nublado;5;1769,01;5;619,1600000000001;2;7;1;6;2;6;2;0;2;6;1;6;1;6;2;7;0;21;100
45;parcialmente_nublado;5;1768,99;5;619,1400000000001;22;8;2;7;2;6;2;0;22;7;1;7;1;6;2;8;0;24;100
46;ceu_aberto;5;1769,0;5;619,15;29;7;24;7;2;6;2;0;29;7;1;7;1;6;9;7;0;19;100
47;nublado;5;1769,0;5;619,15;1;8;1;6;2;6;2;0;1;6;1;6;1;6;2;8;0;21;100
48;parcialmente_nublado;5;1768,99;5;619,15;4;7;1;8;2;6;2;0;4;7;1;8;1;6;2;7;0;24;100
49;parcialmente_nublado;5;1769,0;5;619,14;4;7;3;7;2;6;2;0;4;7;1;7;1;6;2;7;0;24;100
50;ceu_aberto;5;1769,01;5;619,15;29;7;2;7;2;6;2;0;29;7;1;7;1;6;7;7;0;19;100
51;ceu_aberto;5;1769,0;5;619,16;28;7;28;7;2;6;2;0;28;7;1;7;1;6;16;7;0;19;100
52;ceu_aberto;5;1768,99;5;619,14;17;7;27;7;2;6;2;0;27;7;1;7;1;6;18;7;0;19;100
53;ceu_aberto;5;1768,99;5;619,15;28;9;24;7;2;6;2;0;28;7;1;7;1;6;2;9;0;19;100
54;ceu_aberto;5;1768,99;5;619,1500000000001;28;7;22;7;2;6;2;0;28;7;1;7;1;6;7;7;0;19;100
55;ceu_aberto;5;1769,0;5;619,1600000000001;24;7;29;9;2;6;2;0;29;7;1;9;1;6;9;7;0;19;100
56;ceu_aberto;5;1769,0;5;619,1500000000001;29;7;29;7;2;6;2;0;29;6;1;7;1;6;25;7;0;19;100
57;nublado;5;1769,0;5;619,14;6;7;2;6;2;6;2;0;6;7;1;6;1;6;2;7;0;21;100
58;nublado;5;1768,99;5;619,15;2;7;1;7;2;6;2;0;2;7;1;7;1;6;2;7;0;21;100
59;parcialmente_nublado;5;1768,98;5;619,15;2;7;29;6;2;6;2;0;29;7;1;6;1;6;2;7;0;24;100
60;parcialmente_nublado;5;1769,0;5;619,1500000000001;2;7;4;7;2;6;2;0;4;7;1;7;1;6;2;7;0;24;100
61;parcialmente_nublado;5;1769,0;5;619,1400000000001;3;9;2;7;2;6;2;0;3;7;1;6;1;6;2;9;0;24;100
62;parcialmente_nublado;5;1768,99;5;619,16;22;7;2;7;2;6;2;0;2;7;1;7;1;6;23;7;0;24;100
63;ceu_aberto;5;1769,0;5;619,16;29;7;29;7;2;6;2;0;29;7;1;7;1;6;7;7;0;19;100
64;ceu_aberto;5;1769,01;5;619,16;29;7;6;7;2;6;2;0;29;7;1;7;1;6;25;7;0;19;100
65;ceu_aberto;5;1769,01;5;619,16;29;7;29;7;2;6;2;0;29;7;1;7;1;6;25;7;0;19;100
66;nublado;5;1769,01;5;619,16;4;7;1;6;2;6;2;0;1;6;1;6;1;6;5;7;0;21;100
67;ceu_aberto;5;1769,01;5;619,1600000000001;22;7;27;7;2;6;2;0;27;7;1;7;1;6;23;7;0;19;100
68;ceu_aberto;5;1769,0;5;619,15;29;7;24;7;2;6;2;0;29;7;1;7;1;6;9;7;0;19;100
69;parcialmente_nublado;5;1769,0;5;619,15;23;7;26;7;2;6;2;0;26;7;1;7;1;6;2;7;0;24;100
70;nublado;5;1769,0;5;619,1599999999999;1;7;1;7;2;6;2;0;1;6;1;7;1;6;2;7;0;21;100
71;ceu_aberto;5;1769,01;5;619,14;29;7;22;7;2;6;2;0;29;7;1;7;1;6;9;7;0;19;100
72;nublado;5;1769,0;5;619,14;17;7;1;6;2;6;2;0;1;6;1;6;1;6;18;7;0;21;100
73;parcialmente_nublado;5;1769,0;5;619,16;4;7;2;7;2;6;2;0;4;7;1;7;1;6;2;7;0;24;100
74;ceu_aberto;5;1769,0;5;619,16;22;7;26;7;2;6;2;0;26;7;1;7;1;6;3;7;0;19;100
75;parcialmente_nublado;5;1769,01;5;619,16;24;7;2;7;2;6;2;0;24;7;1;7;1;6;2;7;0;24;100
76;nublado;5;1769,0;5;619,15;1;7;2;7;2;6;2;0;2;7;1;6;1;6;2;7;0;21;100
77;ceu_aberto;5;1768,99;5;619,16;29;7;29;7;2;6;2;0;29;6;1;7;1;6;25;7;0;19;100
78;parcialmente_nublado;5;1769,0;5;619,15;22;7;22;6;2;6;2;0;22;6;1;6;1;6;2;7;0;24;100
79;ceu_aberto;5;1769,0;5;619,15;24;7;28;8;2;6;2;0;28;7;1;8;1;6;5;7;0;19;100
80;ceu_aberto;5;1769,01;5;619,1500000000001;24;7;28;7;2;6;2;0;28;7;1;7;1;6;2;7;0;19;100
81;parcialmente_nublado;5;1768,99;5;619,16;29;7;4;7;2;6;2;0;29;7;1;6;1;6;2;7;0;24;100
82;parcialmente_nublado;5;1769,01;5;619,15;24;7;2;7;2;6;2;0;4;7;1;6;1;6;25;6;0;24;100
83;parcialmente_nublado;5;1769,0;5;619,15;1;7;2;7;2;6;2;0;2;7;1;6;1;6;2;7;0;24;100
84;ceu_aberto;5;1769,01;5;619,1400000000001;8;7;3;7;2;6;2;0;8;7;1;7;1;6;5;7;0;19;100
85;ceu_aberto;5;1768,99;5;619,15;29;7;6;7;2;6;2;0;29;7;1;7;1;6;25;7;0;19;100
86;ceu_aberto;5;1769,0;5;619,16;26;7;24;7;2;6;2;0;26;7;1;7;1;6;18;7;0;19;100
87;nublado;5;1769,0;5;619,15;2;7;1;7;2;6;2;0;2;7;1;7;1;6;2;7;0;21;100
88;ceu_aberto;5;1769,0;5;619,15;8;7;27;7;2;6;2;0;27;7;1;7;1;6;9;7;0;19;100
89;parcialmente_nublado;5;1769,0;5;619,15;2;7;8;7;2;6;2;0;8;7;1;7;1;6;2;7;0;24;100
