hour,der,der_type,bus,v_pu_preVoltVar,v_pu_posVoltVar,voltvar_active,iter_count,pnom_kw,q_voltvar_kvar,q/pn(%),soc_pct,bess_state
20,bess_barra848,BESS,848,1.028286,1.028286,False,0,68.86,-0.1563,-0.23,30.72,Discharging
20,bess_barra890,BESS,890,1.006711,1.006711,False,0,209.34,0.0,0.0,20.0,Idling
20,pv_barra860,PV,860,1.027469,1.027469,False,0,208.83,0.0,0.0,,N/A
20,pv_barra840,PV,840,1.027468,1.027468,False,0,216.87,0.0,0.0,,N/A
20,pv_barra844,PV,844,1.027811,1.027811,False,0,209.32,0.0,0.0,,N/A
20,pv_barra848,PV,848,1.028286,1.028286,False,0,227.33,-0.5159,-0.23,,N/A
20,pv_barra890,PV,890,1.006711,1.006711,False,0,199.06,0.0,0.0,,N/A
21,bess_barra860,BESS,860,1.027733,1.027733,False,0,78.1,0.0,0.0,20.0,Idling
21,bess_barra844,BESS,844,1.028007,1.028007,False,0,215.8,0.0,0.0,20.0,Idling
21,bess_barra840,BESS,840,1.027708,1.027708,False,0,63.29,0.0,0.0,20.0,Idling
21,bess_barra848,BESS,848,1.028451,1.028451,False,0,68.86,-0.1563,-0.23,20.0,Idling
21,bess_barra890,BESS,890,0.97545,0.97545,False,0,209.34,0.0,0.0,20.0,Idling
21,pv_barra860,PV,860,1.027733,1.027733,False,0,208.83,0.0,0.0,,N/A
21,pv_barra840,PV,840,1.027708,1.027708,False,0,216.87,0.0,0.0,,N/A
21,pv_barra844,PV,844,1.028007,1.028007,False,0,209.32,0.0,0.0,,N/A
21,pv_barra848,PV,848,1.028451,1.028451,False,0,227.33,-0.5159,-0.23,,N/A
21,pv_barra890,PV,890,0.97545,0.97545,False,0,199.06,0.0,0.0,,N/A
22,bess_barra860,BESS,860,1.028585,1.028585,False,0,78.1,0.0,0.0,20.0,Idling
22,bess_barra844,BESS,844,1.028816,1.028816,False,0,215.8,0.0,0.0,20.0,Idling
22,bess_barra840,BESS,840,1.028512,1.028512,False,0,63.29,0.0,0.0,20.0,Idling
22,bess_barra848,BESS,848,1.029177,1.029177,False,0,68.86,-0.1563,-0.23,20.0,Idling
22,bess_barra890,BESS,890,0.979421,0.979421,False,0,209.34,0.0,0.0,20.0,Idling
22,pv_barra860,PV,860,1.028585,1.028585,False,0,208.83,0.0,0.0,,N/A
22,pv_barra840,PV,840,1.028512,1.028512,False,0,216.87,0.0,0.0,,N/A
22,pv_barra844,PV,844,1.028816,1.028816,False,0,209.32,0.0,0.0,,N/A
22,pv_barra848,PV,848,1.029177,1.029177,False,0,227.33,-0.5159,-0.23,,N/A
22,pv_barra890,PV,890,0.979421,0.979421,False,0,199.06,0.0,0.0,,N/A
23,bess_barra860,BESS,860,1.032966,1.031927,True,1,78.1,-1.4422,-1.85,20.0,Idling
23,bess_barra844,BESS,844,1.033221,1.032181,True,1,215.8,-4.3272,-2.01,20.0,Idling
23,bess_barra840,BESS,840,1.032889,1.031847,True,1,63.29,-1.1385,-1.8,20.0,Idling
23,bess_barra848,BESS,848,1.033621,1.032575,True,1,68.86,-1.5523,-2.25,20.0,Idling
23,bess_barra890,BESS,890,0.991849,0.99088,True,1,209.34,0.0,0.0,20.0,Idling
23,pv_barra860,PV,860,1.032966,1.031927,True,1,208.83,-3.8562,-1.85,,N/A
23,pv_barra840,PV,840,1.032889,1.031847,True,1,216.87,-3.9013,-1.8,,N/A
23,pv_barra844,PV,844,1.033221,1.032181,True,1,209.32,-4.1972,-2.01,,N/A
23,pv_barra848,PV,848,1.033621,1.032575,True,1,227.33,-5.1248,-2.25,,N/A
23,pv_barra890,PV,890,0.991849,0.99088,True,1,199.06,0.0,0.0,,N/A
24,bess_barra860,BESS,860,1.031207,1.03179,True,1,78.1,-0.5868,-0.75,20.0,Idling
24,bess_barra844,BESS,844,1.03147,1.032053,True,1,215.8,-1.9749,-0.92,20.0,Idling
24,bess_barra840,BESS,840,1.031127,1.031712,True,1,63.29,-0.444,-0.7,20.0,Idling
24,bess_barra848,BESS,848,1.031883,1.032469,True,1,68.86,-0.8072,-1.17,20.0,Idling
24,bess_barra890,BESS,890,0.992857,0.9934,True,1,209.34,0.0,0.0,20.0,Idling
24,pv_barra860,PV,860,1.031207,1.03179,True,1,208.83,-1.569,-0.75,,N/A
24,pv_barra840,PV,840,1.031127,1.031712,True,1,216.87,-1.5216,-0.7,,N/A
24,pv_barra844,PV,844,1.03147,1.032053,True,1,209.32,-1.9156,-0.92,,N/A
24,pv_barra848,PV,848,1.031883,1.032469,True,1,227.33,-2.6648,-1.17,,N/A
24,pv_barra890,PV,890,0.992857,0.9934,True,1,199.06,0.0,0.0,,N/A
